321011|464443
321010|464442
320996|464427
320370|463411
320021|463056
316996|458433
316841|458274
314909|456318
314118|454388
309019|446006
308746|441136
308647|441092
308638|441086
308638|441086
308638|441086
308322|441811
308163|440830
308106|440799
308106|440799
308104|435562
307924|435462
307808|440664
307801|435398
307801|435398
307800|435397
325425|475279
325302|477283
325267|477269
325155|477209
325120|475128
324544|476891
318317|459784
318317|459784
318317|459784
318238|459701
317939|459396
317939|459396
314118|454388
314118|454388
314071|454340
306835|440160
306805|434911
306748|434875
305774|438508
305624|434324
305512|438385
305485|434253
305452|434239
305438|434232
305423|434226
305423|434225
305135|434072
305004|438131
304881|438066
304847|438047
304832|433922
304737|437989
304720|433868
304609|433808
304609|437927
304596|437921
304577|433792
304563|437901
304548|433779
304526|437881
304525|433770
304430|433725
304427|437827
304406|433716
304384|437800
304373|437794
304307|437755
304256|437726
322374|468569
322365|466559
322339|468550
322337|468548
322224|466481
322216|466476
322030|466381
322016|465492
321996|465470
321990|465462
321918|465382
321909|465372
321497|464932
321492|464927
321490|464925
321483|464918
321034|464466
321031|464463
321006|464438
321003|464435
321006|464438
320997|464428
320328|463366
320322|463360
320165|463202
320155|463192
320031|463067
320026|463062
320026|463062
320025|463061
320018|463053
320021|463056
320012|463047
320003|463038
319996|463031
319744|462776
319738|462769
319740|462771
319732|462763
319735|462766
319729|462760
319725|462756
319726|462757
319722|462753
319713|462743
319590|462618
319586|462614
319586|462614
319519|462544
319515|462540
319266|462287
319259|460757
319216|460714
319212|460710
319213|460711
319205|460703
319113|460610
319106|460603
319062|460558
319055|460551
318914|460407
318908|460399
318914|460407
318889|460374
318774|460257
318767|460250
318439|459909
318435|459905
318439|459909
318429|459899
318324|459791
318317|459784
318317|459784
318248|459712
318238|459701
318125|459586
318117|459578
318067|459528
318059|459520
317952|459409
317948|459405
317948|459413
317944|459401
317939|459396
317800|459251
317792|459242
317757|459201
317743|459187
317743|459187
317636|459080
317630|459074
317629|459073
317624|459068
317562|459005
317575|459018
317558|459000
317555|458997
317460|458901
317454|458895
317451|458892
317442|458883
317425|458865
317403|458843
317263|458703
317260|458700
317236|458674
317226|458664
316671|458100
316665|458094
316610|458039
316607|458036
316534|457963
316528|457957
316505|457933
316502|457930
316488|457916
316478|457906
316347|457773
316336|457762
315797|457216
315794|457213
315740|457159
315738|457157
315649|457067
315646|457064
315478|456889
315473|456884
315454|456865
315444|456855
315429|456840
315422|456833
315245|456656
315241|456652
314940|456349
314934|456343
314436|454711
314433|454708
314415|454689
314411|454685
314406|454680
314393|454667
314142|454412
314118|454388
313868|454135
313861|454128
313724|453777
313705|453758
313562|453612
313539|453589
313405|453454
313366|453415
313354|453403
313344|453393
313252|453300
313255|453303
313183|453231
313170|453218
313040|453087
313009|453056
312783|452826
312785|452828
312785|452828
312761|452804
312731|452773
312719|452761
312709|452751
312704|452746
312146|452177
312142|452173
312141|452172
312128|452158
312128|452158
312124|452154
312121|452151
312115|452145
312114|452144
312012|451498
311999|451485
311812|451297
311809|451294
311811|451296
311800|451285
311779|451261
311676|451156
311071|449037
311069|449036
311067|450636
311068|449035
311047|450628
311044|450626
311042|450624
311027|449016
310990|450590
310990|450590
310930|448971
310861|450520
310317|450241
310250|448633
310235|448624
309858|450015
309796|448403
309701|448346
309626|446315
309550|448264
309545|446281
309492|448235
309448|448214
308954|445970
308931|447961
308807|443866
308768|442024
308682|441975
308655|441097
308383|441840
308278|440891
307843|435419
307834|440673
307743|440631
307740|440630
307464|435220
307471|440499
307369|440448
307340|440433
306925|434962
306919|434959
306835|440160
306835|440160
306412|434716
306287|434649
305844|438543
305774|438508
305676|434353
305591|434307
305337|434182
305337|434182
305331|434178
305299|434166
305285|434156
305224|434126
305163|434091
305140|434077
305034|434019
305049|434028
305025|434016
304964|438110
304956|438103
304955|438102
304848|438048
304858|433938
304837|433927
304609|433808
304609|437927
304526|437881
304519|437879
304448|437837
304288|433665
304288|433665
304280|433661
304200|435674
304191|433623
304191|433623
304102|423723
304100|429654
304061|423700
304013|423680
303928|423637
303842|429521
303738|425612
303645|423497
